name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
Lenovo ThinkPad P16v G1 i713700H 1x32/1TB Touch W11P,1894.21,16,40.6,1920x1200,16:10,2.2,24.7,365,262,Windows 11 Pro,Intel SoC,32,Intel Iris Xe Graphics,-,1,SSD,-,90,135,Dolby Audio Premium,2,TRUE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21FC0011GE,-,Notebooks
Fujitsu LIFEBOOK U7413 FHD 14 i5 W11P VFY:U7413MF5GMDE,1326.83,14,35.6,1920x1080,-,1.13,18.9,322,211,Windows 11 Pro,i51335U,16,Intel Iris Xe Graphics,-,512,SSD,12,60,65,-,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.07E+12,VFY:U7413MF5GMDE,-,Notebooks
"Apple MacBook Air gold, Apple M1, 7 Core GPU, 8GB RAM, 256GB SSD [2020 / Z12A] (MGND3D/A",955.68,13.3,33.8,2560x1600,16:09,1.29,16.1,304.1,212.4,macOS Big Sur,M1,8,Apple GPU,-,256,SSD,18,49.9,30,Dolby Atmos,2,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),1.94E+11,MGND3D/A,2020,Notebooks
Lenovo Thinkpad P14S G4 R7P7840U 32GB,1873.38,14,35.6,1920x1200,16:10,1.34,17.9,317.7,226.9,Windows 11 Pro,AMD SoC,32,AMD Radeon 780M,-,1,SSD,-,52.5,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21K50003GE,-,Notebooks
LENOVO X13 G4 I51335U 16GB,1635.77,13.3,33.8,1920x1200,16:10,1.09,15.9,301.7,214.8,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,54.7,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21EX0038GE,-,Notebooks
Fujitsu LIFEBOOK U9413 WUXGA 14 touch i5 W11P,1762.86,14,35.6,1920x1200,16:10,908,1.58,308.8,209,Windows 11 Pro,i51335U,16,Intel Iris Xe Graphics,-,512,SSD,-,64,65,-,2,TRUE,TRUE,FALSE,FALSE,TRUE,-,WiFi 6E (802.11ax),4.07E+12,VFY:U9413MF5DMDE,-,Notebooks
ACER TravelMate VERO TMV155157HB IntelCore i51155G7 FHD mit IPS 16GB 512GB SSD W11P,943.66,15.6,39.6,1920x1080,16:09,1.8,17.9,363.4,238.5,Windows 11 Pro,i51155G7,16,Intel Iris Xe Graphics,-,512,SSD,7,48,65,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5,WiFi 6 (802.11ax),4.71E+12,NX.VU2EG.001,-,Notebooks
Fujitsu LIFEBOOK U7613 WUXGA 16 touch i7 W11P,2106.42,16,40.6,1920x1200,-,1.45,20.9,357,249.3,Windows 11 Pro,i71370P,32,Intel Iris Xe Graphics,-,1,SSD,11.5,65,65,-,2,TRUE,TRUE,TRUE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.07E+12,VFY:U7613MF7FMDE,-,Notebooks
Lenovo ThinkPad L15 AMD G3 R55675U 16/512GB SSD FHD W10P,860.78,15.6,39.6,1920x1080,16:09,1.76,19.9,360.2,237,Windows 11 Pro,AMD SoC,16,AMD Radeon Graphics,-,512,SSD,-,57,65,Dolby Audio,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6 (802.11ax),1.97E+11,21C7003GGE,-,Notebooks
LG Electronics 16ZB90R Notebook I7 16GB LPDDR4X 1TB SSD schwarz W11P,1285.99,16,40.6,2560x1600,16:10,1.19,16.8,355.9,243.4,Windows 11 Pro,i71360P,16,Intel Iris Xe Graphics,-,1,SSD,22,80,-,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),8.81E+12,16ZB90RG.AP78G,-,Notebooks
MSI Vector GP68HX 12VH016  Intel Core i9 12900HX / 2.3 GHz  Win 11 Home  GeForce RTX 4080  16 GB RAM  1 TB SSD NVMe 1900,2652.18,16,40.6,1920x1080,-,2.67,2.22,357,284,Windows 11 Home,MediaTek SoC,16,Intel® UHD Graphics,NVIDIA GeForce RTX 4080,1,SSD,-,90,330,NAHIMIC 3,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.71E+12,0015M1016,-,Notebooks
LENOVO ThinkPad L15 G3 R55675U 16GB 512GB SSD FHD W10P DG 4G,971.3,15.6,39.6,1920x1080,16:09,1.76,19.9,360.2,237,Windows 11 Pro,AMD SoC,16,AMD Radeon Graphics,-,512,SSD,-,57,65,Dolby Audio,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),1.97E+11,21C7003WGE,-,Notebooks
LENOVO ThinkPad L13 Yoga G4 AMD Ryzen 7 Pro 7730U WUXGA Touch 16GB 512GB SSD UMA WWAN Ready W11P Black,1296.23,13.3,33.8,1920x1200,16:10,1.31,17.1,305,218,Windows 11 Pro,AMD SoC,16,AMD Radeon Graphics,-,512,SSD,-,46,45,Dolby Audio Premium,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.97E+11,21FR0005GE,-,Notebooks
Lenovo ThinkPad T14s G4 AMD Ryzen 5 Pro 7540U WUXGA 32GB 512GB SSD UMA W11P WWAN Ready Black TopSeller,1829,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.98E+11,21F8000KGE,-,Notebooks
